;DIA;MES;AÑO;MUESTREO;CULTIVAR;VARIEDAD;PORTAINJERTO;REPETICION;CODIGO;EVALUADO;HUEVO ACARO HINDU;ADULTO ACARO HINDU;OTROS ACAROS;AFIDOS;MHC;HOJAS MINADAS;TOTAL HOJAS BROTE;ESCAMAS;MOSCA BLANCA;OBSERVACIONES
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H1;;0;1;NA;1;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;B1;;NA;NA;1;0;0;11;;NA;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;B2;;NA;NA;1;0;0;13;;NA;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H2;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H4;;1;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;B1;;NA;NA;1;0;0;9;;NA;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H1;;1;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;B1;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;B2;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;V.Washington;CPB4475;1;6;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;B1;;NA;NA;1;0;0;13;;NA;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;B2;;NA;NA;1;0;0;9;;NA;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;H2;;2;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;V.Washington;CPB4475;2;6;H4;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;B1;;NA;NA;1;0;0;8;;NA;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;B2;;NA;NA;1;0;0;16;;NA;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;H1;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;H2;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;V.Washington;CPB4475;3;6;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;B1;;NA;NA;1;0;0;13;;NA;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;B2;;NA;NA;1;0;0;8;;NA;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Sweety O;CPB4475;1;7;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;B1;;NA;NA;1;0;0;9;;NA;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;B2;;NA;NA;1;0;0;18;;NA;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;H1;;6;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;H3;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Sweety O;CPB4475;2;7;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;B1;;NA;NA;1;0;0;10;;NA;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;B2;;NA;NA;1;0;0;13;;NA;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;H1;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Sweety O;CPB4475;3;7;H4;;4;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;B1;;NA;NA;1;0;0;8;;NA;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;B2;;NA;NA;1;0;0;8;;NA;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;FrostValencia;CPB4475;1;8;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;B1;;NA;NA;1;0;0;10;;NA;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;B2;;NA;NA;NA;NA;NA;NA;;NA;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;FrostValencia;CPB4475;2;8;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;FrostValencia;CPB4475;3;8;B1;;NA;NA;1;0;0;9;;NA;
3;2;10;2018;M44;Naranja;FrostValencia;CPB4475;3;8;B2;;NA;NA;1;0;0;11;;NA;
